taxonomy_id	name	rank	LS-67	LS-35	LS-55	LS-65	LS-76	LS-93	LS-63	LS-85
0			236182831	317655545	256680602	262393595	136225190	256492843	283441049	233065625
1	root	no rank	9261	11509	14087	10574	10209	8029	10893	7551
131567	cellular organisms	no rank	202918	305227	261767	198579	113702	212640	221047	205615
2	Bacteria	superkingdom	805030	1772977	1475816	874890	549155	1198938	1094831	1167816
1783272	Terrabacteria group	clade	46732	84947	60113	45545	29475	62713	59647	59693
201174	Actinomycetota	phylum	15302	37189	31935	12500	16865	23900	16739	21476
1760	Actinomycetes	class	118153	168824	205123	89053	153517	173215	123155	165254
85007	Mycobacteriales	order	49709	38553	55569	25843	74112	67922	34225	52567
1762	Mycobacteriaceae	family	135653	120748	169870	69857	196624	206458	97144	159750
1763	Mycobacterium	genus	18641	17364	23768	7174	25760	32302	10529	24651
2249310	Mycobacterium simiae complex	species group	857	153	198	117	234	507	86	584
470076	Mycobacterium stomatepiae	species	5705	20	17	303	77	1668	80	3073
292462	Mycobacterium florentinum	species	205	22	29	16	10	124	23	159
722731	Mycobacterium shigaense	species	81	17	47	7	56	75	11	81
120959	Mycobacterium kubicae	species	63	55	80	23	82	110	53	107
53376	Mycobacterium heidelbergense	species	51	38	35	10	37	107	16	73
220927	Mycobacterium saskatchewanense	species	50	62	81	7	87	125	26	102
185642	Mycobacterium parmense	species	35	29	25	14	14	66	22	67
1784	Mycobacterium simiae	species	34	16	20	25	16	64	39	51
2642494	unclassified Mycobacterium	no rank	572	751	1015	325	662	764	582	741
2675524	Mycobacterium sp. DL592	species	1307	2871	2700	1469	1065	2037	2743	2481
1545728	Mycobacterium sp. EPa45	species	148	187	220	94	191	223	148	213
1547487	Mycobacterium sp. ELW1	species	112	135	146	77	129	174	156	194
212767	Mycobacterium sp. JS623	species	97	89	99	41	117	228	83	176
1936029	Mycobacterium sp. MS1601	species	58	34	30	32	27	69	57	89
1682113	Mycobacterium sp. YC-RL4	species	52	67	60	91	93	109	169	178
2675523	Mycobacterium sp. DL440	species	28	19	11	4	13	16	13	28
2775496	Mycobacterium senriense	species	20	17	37	5	48	52	6	43
2587868	Mycobacterium sp. THAF192	species	14	9	10	1	21	15	6	13
1920667	Mycobacterium sp. WY10	species	6	16	20	13	9	20	11	15
2051552	Mycobacterium sp. PYR15	species	6	7	4	1	7	11	5	10
117567	Mycobacterium frederiksbergense	species	250	230	85	893	88	842	2319	1527
120793	Mycobacterium avium complex (MAC)	species group	47	66	51	19	53	101	28	111
1764	Mycobacterium avium	species	25	25	45	12	32	68	21	29
439334	Mycobacterium avium subsp. hominissuis	subspecies	13	11	9	6	9	33	7	42
1767	Mycobacterium intracellulare	species	14	18	6	4	5	24	11	33
222805	Mycobacterium intracellulare subsp. chimaera	subspecies	24	26	33	17	26	55	19	48
701042	Mycobacterium marseillense	species	23	10	17	4	7	35	19	25
560555	Mycobacterium mantenii	species	20	19	12	12	25	57	22	50
339268	Mycobacterium colombiense	species	0	0	0	0	0	0	0	0
1041522	Mycobacterium colombiense CECT 3035	strain	10	3	6	3	4	10	8	10
1138383	Mycobacterium paraintracellulare	species	10	15	19	10	19	22	6	29
1768	Mycobacterium kansasii	species	88	73	106	16	82	200	47	121
1775	Mycobacterium cookii	species	85	67	77	48	120	126	55	97
43348	Mycobacterium branderi	species	80	73	89	22	83	176	45	150
77643	Mycobacterium tuberculosis complex	species group	26	51	54	24	69	85	20	75
78331	Mycobacterium canettii	species	2	8	1	8	6	30	4	47
1205677	Mycobacterium canettii CIPT 140070017	strain	15	4	1	1	2	26	7	21
1205674	Mycobacterium canettii CIPT 140070010	strain	11	1	2	0	5	20	4	34
1773	Mycobacterium tuberculosis	species	14	2	16	10	26	2	10	13
1806	Mycobacterium tuberculosis variant microti	biotype	2	1	7	0	3	3	0	0
29311	Mycobacterium haemophilum	species	0	0	0	0	0	0	0	0
1202450	Mycobacterium haemophilum DSM 44634	strain	63	77	56	13	67	143	25	123
1778	Mycobacterium gordonae	species	60	42	32	26	34	65	41	50
1069220	Mycolicibacillus koreensis	species	56	47	50	13	52	42	41	43
1389713	Mycobacterium paragordonae	species	53	34	80	15	60	95	29	55
398694	Mycobacterium shinjukuense	species	53	28	59	12	73	128	19	84
2094119	Mycobacterium basiliense	species	50	52	80	18	70	60	16	52
459858	Mycobacterium noviomagense	species	50	30	26	13	29	93	22	92
39689	Mycobacterium gallinarum	species	47	39	27	73	18	193	179	458
482462	Mycobacterium dioxanotrophicus	species	43	56	39	28	53	96	57	60
486698	Mycobacterium riyadhense	species	36	39	34	15	39	99	37	130
152142	Mycolicibacterium holsaticum	species	32	55	21	26	30	75	52	131
512402	Mycolicibacter heraklionensis	species	29	23	23	19	46	48	36	37
1801	Mycolicibacterium diernhoferi	species	29	75	21	346	16	527	891	988
590652	Mycobacterium paraseoulense	species	28	13	51	4	66	70	25	55
134601	Mycolicibacterium goodii	species	27	26	19	9	14	50	40	50
1719132	Mycobacterium vicinigordonae	species	26	44	84	13	102	71	18	51
169765	Mycobacterium lacus	species	26	23	39	16	26	104	32	96
44010	Mycobacterium conspicuum	species	25	29	14	3	10	59	17	54
1781	Mycobacterium marinum	species	22	17	28	17	18	40	18	25
216594	Mycobacterium marinum M	strain	2	6	1	4	5	5	10	7
1552759	Mycobacterium grossiae	species	24	53	42	25	32	91	64	93
886343	Mycobacterium spongiae	species	24	27	18	4	23	33	12	14
386911	Mycobacterium seoulense	species	18	14	17	12	11	44	11	39
1789	Mycobacterium xenopi	species	18	24	24	9	24	66	29	102
1780	Mycobacterium malmoense	species	17	35	14	16	11	40	21	39
1796	Mycolicibacterium senegalense	species	17	4	12	1	7	41	0	20
110505	Mycobacterium heckeshornense	species	11	28	13	5	9	60	26	62
1769	Mycobacterium leprae	species	9	4	11	2	26	15	4	15
133549	Mycobacterium shottsii	species	5	0	2	0	2	8	0	2
1809	Mycobacterium ulcerans	species	0	0	0	0	0	1	2	0
1124626	Mycobacterium ulcerans subsp. shinshuense	subspecies	1	0	0	0	0	0	0	0
370524	Mycolicibacterium pallens	species	1	1	3	1	2	4	6	1
1866885	Mycolicibacterium	genus	18568	18004	22807	12581	24576	30779	19873	28247
1431246	Mycolicibacterium anyangense	species	427	745	823	261	448	733	443	557
1534349	Mycolicibacterium helvum	species	399	587	455	545	339	873	1153	1255
1791	Mycolicibacterium aurum	species	395	414	239	1194	196	726	2140	1502
1534348	Mycolicibacterium sarraceniae	species	243	254	282	231	390	468	362	432
216929	Mycolicibacterium psychrotolerans	species	211	237	224	86	211	423	143	326
39687	Mycolicibacterium austroafricanum	species	152	132	152	39	136	194	89	153
2636767	unclassified Mycolicibacterium	no rank	26	22	6	14	13	39	33	31
2736649	Mycolicibacterium mengxianglii	species	67	71	80	40	45	167	113	148
2761578	Mycolicibacterium baixiangningiae	species	53	70	55	29	70	144	43	118
1968788	Mycolicibacterium sp. CBMA 213	species	1	0	0	0	0	1	0	0
1810	Mycolicibacterium vaccae	species	0	0	0	0	0	0	0	0
1354275	Mycolicibacterium vaccae 95051	strain	123	110	38	415	30	754	1260	1846
1799	Mycolicibacterium aichiense	species	98	112	121	44	105	140	66	120
758802	Mycolicibacterium litorale	species	95	46	45	32	87	106	77	131
1286180	Mycolicibacterium sediminis	species	92	90	46	363	53	423	914	988
46351	Mycolicibacterium hassiacum	species	0	0	0	0	0	0	0	0
1122247	Mycolicibacterium hassiacum DSM 44199	strain	85	57	84	38	96	118	56	128
444597	Mycolicibacterium insubricum	species	80	26	58	30	79	78	54	78
1771	Mycolicibacterium phlei	species	79	70	86	41	123	167	49	126
1800	Mycolicibacterium chubuense	species	0	0	0	0	0	0	0	0
710421	Mycolicibacterium chubuense NBB4	strain	79	83	93	38	105	129	87	171
28047	Mycolicibacterium confluentis	species	76	72	100	80	72	142	153	145
1792	Mycolicibacterium chitae	species	74	81	102	50	137	147	80	139
1286181	Mycolicibacterium arabiense	species	74	50	25	120	24	85	163	137
39691	Mycolicibacterium moriokaense	species	73	44	49	15	55	181	62	207
1793	Mycolicibacterium fallax	species	73	74	77	33	41	105	56	115
258505	Mycolicibacterium fluoranthenivorans	species	68	90	52	164	53	180	293	280
1794	Mycolicibacterium gadium	species	63	80	36	94	41	287	183	706
1797	Mycolicibacterium thermoresistibile	species	60	45	55	19	71	98	51	107
36814	Mycolicibacterium rhodesiae	species	0	0	0	0	0	0	0	0
710685	Mycolicibacterium rhodesiae NBB3	strain	57	59	32	76	35	210	141	370
39688	Mycolicibacterium duvalii	species	56	33	62	25	79	105	40	96
1795	Mycolicibacterium neoaurum	species	55	47	19	76	41	126	133	140
319707	Mycolicibacterium aubagnense	species	53	40	57	17	41	67	53	70
212765	Mycolicibacterium madagascariense	species	52	64	49	56	45	176	152	287
1804	Mycolicibacterium gilvum	species	0	0	0	0	0	0	0	0
278137	Mycolicibacterium gilvum Spyr1	strain	52	35	22	41	42	83	109	111
1249101	Mycolicibacterium celeriflavum	species	48	47	58	9	94	129	49	94
39692	Mycolicibacterium parafortuitum	species	47	31	31	15	55	101	66	98
39695	Mycolicibacterium tokaiense	species	46	46	47	35	41	151	99	224
36813	Mycolicibacterium pulveris	species	45	17	14	8	16	85	43	101
67081	Mycolicibacterium alvei	species	44	56	55	22	45	57	17	56
1772	Mycolicibacterium smegmatis	species	36	39	46	24	30	54	22	74
1214915	Mycolicibacterium smegmatis MKD8	strain	7	13	10	0	10	18	6	28
126673	Mycolicibacterium doricum	species	42	34	28	53	27	150	84	262
1766	Mycolicibacterium fortuitum	species	40	34	272	118	155	93	24	59
53462	Mycolicibacterium mageritense	species	39	40	19	25	34	76	34	58
370526	Mycolicibacterium rutilum	species	34	39	29	29	45	78	61	97
319706	Mycolicibacterium phocaicum	species	33	46	50	22	37	68	19	65
85693	Mycolicibacterium monacense	species	33	31	23	11	13	62	55	62
146017	Mycolicibacterium boenickei	species	31	19	25	17	11	36	35	56
98668	Mycolicibacterium septicum	species	18	13	17	1	25	31	9	35
39694	Mycolicibacterium poriferae	species	18	22	44	6	43	21	12	34
110539	Mycolicibacterium vanbaalenii	species	0	0	0	0	0	0	0	0
350058	Mycolicibacterium vanbaalenii PYR-1	strain	13	40	22	7	55	46	14	39
1802	Mycolicibacterium farcinogenes	species	5	4	11	3	1	1	5	3
56689	Mycolicibacterium mucogenicum	species	0	0	0	0	0	0	0	0
1226753	Mycolicibacterium mucogenicum DSM 44124	strain	4	5	4	12	5	22	19	17
2487344	Mycolicibacterium nivoides	species	2	2	2	0	3	4	1	3
1073531	Mycolicibacter	genus	111	52	69	95	99	164	149	97
2642523	unclassified Mycolicibacter	no rank	94	66	73	64	81	114	114	97
2855503	Mycolicibacter sp. MYC340	species	30	10	10	14	23	45	23	49
2872309	Mycolicibacter sp. MYC098	species	23	21	31	4	34	51	18	36
2875777	Mycolicibacter sp. MYC017	species	14	14	12	8	8	11	14	14
2872311	Mycolicibacter sp. MYC101	species	8	15	18	0	10	35	2	21
2855502	Mycolicibacter sp. MYC123	species	5	1	5	4	4	5	7	4
1118379	Mycolicibacter minnesotensis	species	55	21	14	314	16	60	625	85
1788	Mycolicibacter terrae	species	40	15	22	8	25	39	28	51
29314	Mycolicibacter hiberniae	species	38	25	11	34	15	41	79	61
875328	Mycolicibacter sinensis	species	7	1	2	1	4	3	2	11
670516	Mycobacteroides	genus	87	49	78	32	65	131	70	121
36809	Mycobacteroides abscessus	species	73	25	24	17	87	133	28	78
1185650	Mycobacteroides abscessus subsp. abscessus	subspecies	6	0	5	2	10	3	11	10
83262	Mycobacteroides immunogenum	species	21	8	17	0	23	13	11	9
1774	Mycobacteroides chelonae	species	20	8	27	11	36	53	39	27
404941	Mycobacteroides salmoniphilum	species	20	9	12	38	12	20	95	37
1520670	[Mycobacterium] stephanolepidis	species	19	3	10	5	17	14	7	9
1578165	Mycobacteroides saopaulense	species	7	1	3	5	6	21	6	7
697025	Hoyosella	genus	0	0	0	0	0	0	0	0
639313	Hoyosella subflava	species	0	0	0	0	0	0	0	0
443218	Hoyosella subflava DQS3-9A1	strain	3	2	11	46	2	13	30	10
85025	Nocardiaceae	family	232	260	246	196	316	503	419	599
1827	Rhodococcus	genus	1411	1727	775	2732	876	2360	7948	4893
192944	unclassified Rhodococcus (in: high G+C Gram-positive bacteria)	no rank	58	61	40	97	43	173	248	308
