sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
LS-35	NODE_33835_length_4897_cov_23.6	0.427	0.015	0.004	0.101	0.132	0.000	0.017	0.036	0.010	0.000	0.044	0.013	724	20.339	4897	0.031	0.024	0.033	0.022	0.069	0.010	0.023	0.000	0.000	0.011	0.011	0.000	0.024	0.000	0.013	0.009	0.020	0.000	0.000	0.000
LS-35	NODE_28093_length_5415_cov_7.2	0.198	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	228	6.028	5415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_55830_length_3728_cov_70.9	0.531	0.005	0.001	0.309	0.462	0.006	0.002	0.006	0.005	1.000	1.000	0.006	1589	60.162	3728	0.000	0.000	0.000	0.000	0.006	0.016	0.006	0.011	0.005	0.000	0.000	0.000	0.006	0.006	0.016	0.019	0.000	0.006	0.000	0.006
LS-35	NODE_12851_length_8270_cov_8.0	0.251	0.001	0.001	0.293	0.271	0.000	0.002	0.008	0.004	0.163	1.000	0.004	396	6.787	8270	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_2329_length_20949_cov_22.2	0.442	0.004	0.001	0.000	0.225	0.008	0.011	0.008	0.001	1.000	1.000	0.005	2862	18.866	20949	0.002	0.003	0.007	0.002	0.000	0.004	0.002	0.005	0.002	0.000	0.007	0.002	0.000	0.003	0.004	0.007	0.005	0.007	0.008	0.005
LS-35	NODE_7286_length_11210_cov_12.1	0.288	0.005	0.002	0.317	0.622	0.006	0.003	0.006	0.007	1.000	1.000	0.008	852	10.758	11210	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.020	0.010	0.000	0.000	0.000	0.011	0.000	0.010	0.000	0.010	0.000	0.000	0.021
LS-35	NODE_58238_length_3643_cov_8.9	0.220	0.007	0.005	0.491	2.004	0.008	0.006	0.008	0.022	1.000	1.000	0.021	201	7.702	3643	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_2671_length_19347_cov_29.0	0.464	0.005	0.001	0.849	0.829	0.004	0.001	0.008	0.003	0.588	1.000	0.003	3391	24.713	19347	0.008	0.006	0.002	0.000	0.000	0.005	0.004	0.005	0.005	0.003	0.005	0.002	0.009	0.009	0.002	0.007	0.007	0.006	0.005	0.002
LS-35	NODE_49602_length_3977_cov_12.8	0.271	0.015	0.005	0.990	1.578	0.016	0.006	0.016	0.024	1.000	1.000	0.022	324	11.238	3977	0.000	0.033	0.000	0.000	0.038	0.000	0.029	0.000	0.000	0.033	0.074	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.053	0.000
LS-35	NODE_291_length_64779_cov_16.1	0.819	0.007	0.001	0.000	0.366	0.010	0.015	0.010	0.002	1.000	1.000	0.005	6354	13.743	64779	0.005	0.006	0.003	0.007	0.010	0.003	0.010	0.009	0.005	0.005	0.003	0.003	0.013	0.008	0.003	0.005	0.003	0.013	0.007	0.011
LS-35	NODE_20907_length_6351_cov_8.6	0.217	0.001	0.001	0.510	3.023	0.002	0.002	0.002	0.006	0.997	1.000	0.006	318	7.199	6351	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_75297_length_3161_cov_10.8	0.251	0.014	0.006	0.889	1.880	0.015	0.007	0.015	0.028	1.000	1.000	0.027	244	9.417	3161	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.034	0.000	0.000	0.071	0.061	0.000	0.000	0.000	0.000
