sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
LS-65	NODE_46050_length_3783_cov_8.2	8154	genus	RBG-13-68-16	5	5	4	0.76	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia;o_Thermoanaerobaculales;f_Thermoanaerobaculaceae;g_RBG-13-68-16
LS-63	NODE_37_length_136387_cov_46.8	71185	species	JABMQX01 sp013203085	84	74	41	0.59	d_Bacteria;p_JABMQX01;c_JABMQX01;o_JABMQX01;f_JABMQX01;g_JABMQX01;s_JABMQX01 sp013203085
LS-63	NODE_3153_length_18884_cov_11.3	2	superkingdom	Bacteria	19	17	16	0.93	d_Bacteria
LS-63	NODE_10418_length_9291_cov_9.4	4496	genus	LD21	11	10	7	0.84	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-63	NODE_22203_length_5856_cov_17.7	38950	species	JAFGGI01 sp016930635	8	8	3	0.71	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_UBA12454;g_JAFGGI01;s_JAFGGI01 sp016930635
LS-63	NODE_39993_length_4100_cov_20.3	24830	species	CAIQJJ01 sp903872065	6	4	3	1.0	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_UBA4823;g_CAIQJJ01;s_CAIQJJ01 sp903872065
LS-55	NODE_22_length_313047_cov_77.4	2	superkingdom	Bacteria	72	63	45	0.71	d_Bacteria
LS-55	NODE_437_length_68390_cov_30.6	74007	species	Mycobacterium sp903911165	88	81	41	0.68	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium sp903911165
LS-55	NODE_1846_length_30769_cov_25.6	2	superkingdom	Bacteria	16	15	14	0.92	d_Bacteria
LS-55	NODE_3431_length_20683_cov_121.9	2	superkingdom	Bacteria	18	16	15	0.93	d_Bacteria
LS-93	NODE_13102_length_8171_cov_9.7	840	phylum	Desulfobacterota	6	6	6	1.0	d_Bacteria;p_Desulfobacterota
LS-93	NODE_24348_length_5566_cov_16.5	2	superkingdom	Bacteria	5	5	3	0.6	d_Bacteria
LS-93	NODE_37335_length_4276_cov_12.4	6494	family	SG8-4	6	6	4	0.67	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4
LS-93	NODE_64515_length_3054_cov_10.3	83785	family	UBA233	5	4	2	0.65	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-35	NODE_1029_length_34070_cov_92.2	21740	genus	RBG-16-66-30	24	22	17	0.76	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales;f_RBG-16-66-30;g_RBG-16-66-30
LS-35	NODE_4250_length_14967_cov_23.4	2	superkingdom	Bacteria	17	16	16	1.0	d_Bacteria
LS-35	NODE_8393_length_10393_cov_10.9	71185	species	JABMQX01 sp013203085	8	8	4	0.65	d_Bacteria;p_JABMQX01;c_JABMQX01;o_JABMQX01;f_JABMQX01;g_JABMQX01;s_JABMQX01 sp013203085
LS-35	NODE_13581_length_8014_cov_9.0	2	superkingdom	Bacteria	4	4	3	0.75	d_Bacteria
LS-35	NODE_20907_length_6351_cov_8.6	19803	order	UBA4802	2	2	1	0.5	d_Bacteria;p_Spirochaetota;c_UBA4802;o_UBA4802
LS-35	NODE_28583_length_5362_cov_8.5	2	superkingdom	Bacteria	2	2	2	1.0	d_Bacteria
LS-65	NODE_20701_length_6152_cov_14.6	2	superkingdom	Bacteria	7	7	6	0.84	d_Bacteria
LS-65	NODE_39772_length_4135_cov_7.9	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-65	NODE_64905_length_3075_cov_7.7	4496	genus	LD21	4	4	3	0.75	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-63	NODE_1921_length_25008_cov_19.5	183	order	Rhizobiales	23	21	12	0.6	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
LS-63	NODE_7695_length_11106_cov_16.8	29252	species	UBA1163 sp002311635	10	10	6	0.66	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163;g_UBA1163;s_UBA1163 sp002311635
LS-63	NODE_20098_length_6220_cov_11.0	33561	genus	VGBK01	6	5	3	0.74	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_UBA5794;f_UBA11373;g_VGBK01
LS-63	NODE_34486_length_4477_cov_48.9	57420	species	JACWAE01 sp014874385	4	4	3	0.75	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_SZUA-161;f_SZUA-161;g_JACWAE01;s_JACWAE01 sp014874385
LS-55	NODE_8_length_457222_cov_78.3	2	superkingdom	Bacteria	124	96	76	0.76	d_Bacteria
LS-55	NODE_164_length_123167_cov_29.1	7106	order	Aminicenantales	127	118	53	0.59	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales
LS-55	NODE_1645_length_32985_cov_26.6	7715	family	2-01-FULL-45-10	37	37	29	0.79	d_Bacteria;p_Omnitrophota;c_Koll11;o_2-01-FULL-45-10;f_2-01-FULL-45-10
LS-63	NODE_1701_length_26647_cov_17.5	21332	family	UBA1163	28	28	15	0.59	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163
LS-63	NODE_7262_length_11514_cov_23.3	825	order	Cyanobacteriales	6	5	3	0.51	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales
LS-63	NODE_18788_length_6481_cov_10.0	8970	genus	2-02-FULL-66-22	11	11	7	0.86	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia;o_Methylomirabilales;f_2-02-FULL-66-22;g_2-02-FULL-66-22
LS-63	NODE_33453_length_4557_cov_9.9	70673	species	QWPN01 sp014192425	5	4	2	0.65	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_UBA1268;g_QWPN01;s_QWPN01 sp014192425
LS-63	NODE_66678_length_3028_cov_7.6	33131	family	2-12-FULL-54-10	3	3	2	0.52	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_2-12-FULL-54-10;f_2-12-FULL-54-10
LS-55	NODE_131_length_141970_cov_78.8	2	superkingdom	Bacteria	29	25	17	0.63	d_Bacteria
LS-55	NODE_1518_length_34620_cov_155.4	21740	genus	RBG-16-66-30	45	44	40	0.97	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales;f_RBG-16-66-30;g_RBG-16-66-30
