sample	ID	Region	Identity	Product	Organism
LS-65	NODE_1_length_722726_cov_32.6	BGC0000897: 0-20143	0.4469442853000438	['Other']	Streptomyces luridus
LS-65	NODE_1_length_722726_cov_32.6	BGC0000337: 1050-104779	0.6363394891402261	['NRP']	Metarhizium robertsii ARSEF 23
LS-65	NODE_1_length_722726_cov_32.6	BGC0000406: 116-37823	0.44211270367206834	['NRP']	Streptomyces viridochromogenes
LS-65	NODE_1_length_722726_cov_32.6	BGC0001095: 0-49542	0.5030003240630002	['NRP']	Bacillus velezensis FZB42
LS-65	NODE_1_length_722726_cov_32.6	BGC0000806: 296-70742	0.44804685666615485	['Saccharide']	Glycomyces sp. NRRL B-16210
LS-65	NODE_1_length_722726_cov_32.6	BGC0000615: 0-35080	0.41109470080387256	['RiPP']	Nocardiopsis sp. TFS65-07
LS-65	NODE_1_length_722726_cov_32.6	BGC0001055: 785-84186	0.42375907070668906	['NRP', 'Polyketide']	Escherichia coli
LS-65	NODE_1_length_722726_cov_32.6	BGC0000093: 0-184824	0.42375907070668906	['Polyketide']	Streptomyces nanchangensis
LS-65	NODE_2_length_604338_cov_32.5	BGC0000099: 0-8104	0.47617230910600056	['Polyketide']	Talaromyces marneffei
LS-65	NODE_2_length_604338_cov_32.5	BGC0002429: 0-14296	0.436802399719611	['Terpene', 'Polyketide']	Colletotrichum higginsianum IMI 349063
LS-65	NODE_2_length_604338_cov_32.5	BGC0002427: 0-21541	0.43448907485981697	['Terpene', 'Polyketide']	Metarhizium robertsii ARSEF 23
LS-65	NODE_2_length_604338_cov_32.5	BGC0001338: 273-42813	0.4859669318895449	['Polyketide']	Monascus ruber
LS-65	NODE_2_length_604338_cov_32.5	BGC0001976: 11125-46899	0.4637734017341469	['Terpene']	Phoma sp.
LS-65	NODE_2_length_604338_cov_32.5	BGC0001257: 399-7066	0.4158419130427998	['Polyketide']	Nodulisporium sp. ATCC74245
LS-65	NODE_2_length_604338_cov_32.5	BGC0002603: 0-17042	0.4305789495624038	['Polyketide']	Aspergillus versicolor
LS-65	NODE_2_length_604338_cov_32.5	BGC0002175: 214-6865	0.41455991536812	['Polyketide']	Aspergillus oryzae RIB40
LS-65	NODE_2_length_604338_cov_32.5	BGC0001258: 43-7265	0.41413051166570236	['Polyketide']	Glarea lozoyensis
LS-65	NODE_2_length_604338_cov_32.5	BGC0002154: 337-7126	0.41283595373477605	['Polyketide']	Pyricularia oryzae 70-15
LS-65	NODE_2_length_604338_cov_32.5	BGC0001906: 35-64276	0.41196752847951973	['Polyketide']	Daldinia eschscholzii IFB-TL01
LS-65	NODE_2_length_604338_cov_32.5	BGC0000013: 0-7849	0.4115316700147884	['Polyketide']	Aspergillus nidulans FGSC A4
LS-65	NODE_2_length_604338_cov_32.5	BGC0000156: 500-13275	0.41109470080387256	['Polyketide']	Aspergillus niger
LS-65	NODE_2_length_604338_cov_32.5	BGC0002236: 673-11427	0.40933550912807887	['Polyketide']	Aspergillus oryzae RIB40
LS-65	NODE_2_length_604338_cov_32.5	BGC0000107: 144-6819	0.40844897594432417	['Polyketide']	Aspergillus nidulans FGSC A4
LS-65	NODE_2_length_604338_cov_32.5	BGC0001827: 0-43539	0.4592043145567745	['Polyketide']	Sarocladium sp. 'schorii'
LS-65	NODE_2_length_604338_cov_32.5	BGC0000154: 266-31301	0.4651682569966671	['Polyketide']	Talaromyces stipitatus ATCC 10500
LS-65	NODE_2_length_604338_cov_32.5	BGC0002483: 1330-45854	0.44286195759743435	['Polyketide']	Cladonia uncialis subsp. uncialis
LS-65	NODE_2_length_604338_cov_32.5	BGC0000027: 10301-76156	0.4785489993209146	['Polyketide']	Monascus pilosus
LS-65	NODE_2_length_604338_cov_32.5	BGC0000037: 0-7821	0.4413611929374029	['Polyketide']	Aspergillus nidulans FGSC A4
LS-65	NODE_2_length_604338_cov_32.5	BGC0002240: 96-11225	0.43018399288437476	['Polyketide']	Metarhizium anisopliae
LS-65	NODE_2_length_604338_cov_32.5	BGC0000284: 0-11949	0.40933550912807887	['Polyketide']	Azotobacter vinelandii DJ
LS-65	NODE_2_length_604338_cov_32.5	BGC0002191: 260-8785	0.4183787764709534	['Polyketide']	Fusarium graminearum PH-1
LS-65	NODE_2_length_604338_cov_32.5	BGC0001254: 82-7456	0.4137000565967187	['Polyketide']	Alternaria alternata
LS-65	NODE_2_length_604338_cov_32.5	BGC0002253: 0-33620	0.40977702529955856	['Polyketide']	Aspergillus sp. FM242
LS-65	NODE_2_length_604338_cov_32.5	BGC0002192: 0-9693	0.42211979182415743	['Polyketide']	fungal sp. No.14919
LS-65	NODE_2_length_604338_cov_32.5	BGC0002745: 541-30364	0.4179584181749426	['Polyketide']	Penicillium polonicum
LS-65	NODE_2_length_604338_cov_32.5	BGC0002161: 1109-36992	0.41455991536812	['Polyketide']	Pestalotiopsis fici W106-1
LS-65	NODE_2_length_604338_cov_32.5	BGC0001583: 3200-15837	0.4257889783866138	['Polyketide']	Escovopsis weberi
LS-65	NODE_2_length_604338_cov_32.5	BGC0002238: 216-10949	0.42129486592992904	['Polyketide']	Aspergillus oryzae RIB40
LS-65	NODE_2_length_604338_cov_32.5	BGC0001273: 0-5301	0.42129486592992904	['Polyketide']	Aspergillus ochraceus
LS-65	NODE_2_length_604338_cov_32.5	BGC0001068: 0-35628	0.420881053711368	['Terpene', 'Polyketide']	unidentified unclassified sequences.
LS-65	NODE_2_length_604338_cov_32.5	BGC0001244: 0-5358	0.4187981742969395	['Polyketide']	Parastagonospora nodorum
LS-65	NODE_2_length_604338_cov_32.5	BGC0002171: 8-7317	0.4179584181749426	['NRP', 'Polyketide']	Aspergillus niger ATCC 1015
LS-65	NODE_2_length_604338_cov_32.5	BGC0001400: 30-15436	0.4179584181749426	['Polyketide']	Aspergillus terreus NIH2624
LS-65	NODE_2_length_604338_cov_32.5	BGC0002275: 0-10320	0.4175370907392536	['NRP', 'Polyketide']	Aspergillus niger CBS 101883
LS-65	NODE_2_length_604338_cov_32.5	BGC0000030: 0-18435	0.416691493321005	['Polyketide']	Fusarium fujikuroi IMI 58289
LS-65	NODE_2_length_604338_cov_32.5	BGC0002255: 803-34333	0.46586387352955466	['Polyketide']	Ascomycota sp. F53
LS-65	NODE_2_length_604338_cov_32.5	BGC0002190: 548-34110	0.4655162133313014	['Polyketide']	Acremonium chrysogenum ATCC 11550
LS-65	NODE_2_length_604338_cov_32.5	BGC0001404: 0-28758	0.4641225769357183	['Polyketide']	Penicillium rubens Wisconsin 54-1255
LS-65	NODE_2_length_604338_cov_32.5	BGC0001998: 0-14131	0.41240228636695425	['Polyketide']	Aspergillus nidulans FGSC A4
LS-65	NODE_2_length_604338_cov_32.5	BGC0002538: 0-17732	0.4192166202343247	['Polyketide']	Chaetomium olivaceum
LS-65	NODE_2_length_604338_cov_32.5	BGC0000064: 0-11857	0.416691493321005	['NRP', 'Polyketide']	Fusarium verticillioides
LS-65	NODE_2_length_604338_cov_32.5	BGC0001268: 894-12763	0.41626720554579544	['NRP', 'Polyketide']	Fusarium fujikuroi
LS-65	NODE_2_length_604338_cov_32.5	BGC0001144: 0-15201	0.41963412277761947	['Polyketide']	Trichophyton tonsurans CBS 112818
LS-65	NODE_2_length_604338_cov_32.5	BGC0001872: 0-20491	0.41021738890123133	['Polyketide']	Xenorhabdus bovienii SS-2004
LS-65	NODE_2_length_604338_cov_32.5	BGC0000979: 0-6921	0.4217077759677249	['NRP', 'Polyketide']	Aphanizomenon sp. 10E9
LS-65	NODE_2_length_604338_cov_32.5	BGC0000980: 0-6921	0.4217077759677249	['NRP', 'Polyketide']	Aphanizomenon sp. 22D11
LS-65	NODE_2_length_604338_cov_32.5	BGC0001266: 10707-26494	0.41326854053120765	['Polyketide']	Cladonia grayi
LS-65	NODE_2_length_604338_cov_32.5	BGC0000140: 112-14048	0.42211979182415743	['Polyketide']	Streptomyces sp. 88-682
LS-65	NODE_3_length_576669_cov_32.3	BGC0002749: 1722-17470	0.503333777884475	['NRP', 'Polyketide']	Aspergillus candidus
LS-65	NODE_3_length_576669_cov_32.3	BGC0002171: 8-7317	0.4903224718465099	['NRP', 'Polyketide']	Aspergillus niger ATCC 1015
LS-65	NODE_3_length_576669_cov_32.3	BGC0002275: 0-10320	0.4903224718465099	['NRP', 'Polyketide']	Aspergillus niger CBS 101883
LS-65	NODE_3_length_576669_cov_32.3	BGC0001793: 538-21374	0.5217899750048131	['NRP', 'Polyketide']	Chaetothyriaceae sp.
LS-65	NODE_3_length_576669_cov_32.3	BGC0000979: 0-6921	0.44583720239011077	['NRP', 'Polyketide']	Aphanizomenon sp. 10E9
LS-65	NODE_3_length_576669_cov_32.3	BGC0000980: 0-6921	0.44583720239011077	['NRP', 'Polyketide']	Aphanizomenon sp. 22D11
LS-65	NODE_3_length_576669_cov_32.3	BGC0001794: 3660-23178	0.5083402882130819	['NRP', 'Polyketide']	Alternaria oxytropis
LS-65	NODE_3_length_576669_cov_32.3	BGC0000348: 0-13540	0.43018399288437476	['NRP']	Epichloe festucae var. lolii
LS-65	NODE_3_length_576669_cov_32.3	BGC0001264: 8442-40380	0.436802399719611	['Polyketide']	Phoma betae
